id,name,parent_classification_id
345,Analysts,343
346,Body Corporate & Facilities Management,343
347,"Commercial Sales, Leasing & Property Mgmt",343
348,Residential Leasing & Property Management,343
349,Residential Sales,343
350,Retail & Property Development,343
351,Valuation,343
352,Other,343
353,Retail & Consumer Products,NULL
354,Buying,353
355,Management - Area/Multi-site,353
356,Management - Department/Assistant,353
357,Management - Store,353
358,Merchandisers,353
359,Planning,353
360,Retail Assistants,353
361,Other,353
362,Sales,NULL
363,Account & Relationship Management,362
364,Analysis & Reporting,362
365,Management,362
366,New Business Development,362
367,Sales Coordinators,362
368,Sales Representatives/Consultants,362
369,Other,362
370,Science & Technology,NULL
371,Biological & Biomedical Sciences,370
372,Biotechnology & Genetics,370
373,Chemistry & Physics,370
374,"Environmental, Earth & Geosciences",370
375,Food Technology & Safety,370
376,Laboratory & Technical Services,370
377,Materials Sciences,370
378,"Mathematics, Statistics & Information Sciences",370
379,Modelling & Simulation,370
380,Quality Assurance & Control,370
381,Other,370
382,Self Employment,NULL
383,Self Employment,382
384,Sport & Recreation,NULL
385,Coaching & Instruction,384
386,Fitness & Personal Training,384
387,Management,384
388,Other,384
389,Trades & Services,NULL
390,Air Conditioning & Refrigeration,389
391,Automotive Trades,389
392,Bakers & Pastry Chefs,389
393,Building Trades,389
394,Butchers,389
395,Carpentry & Cabinet Making,389
396,Cleaning Services,389
397,Electricians,389
398,"Fitters, Turners & Machinists",389
399,Floristry,389
400,Gardening & Landscaping,389
401,Hair & Beauty Services,389
402,Labourers,389
403,Locksmiths,389
404,Maintenance & Handyperson Services,389
405,Nannies & Babysitters,389
406,Painters & Sign Writers,389
407,Plumbers,389
408,Printing & Publishing Services,389
409,Security Services,389
410,Tailors & Dressmakers,389
411,Technicians,389
412,Welders & Boilermakers,389
413,Other,389
